Pais;Anio;Tasa_desempleo;PBI;Consumo_privado;Gasto_publico;Inflacion;Inv_Extranjera_D;Salida_Net_Cap
Chile;1986;0.087;0.00316;0.00339;0.00295;0.19477;0.016;0.169
Chile;1987;0.079;0.00373;0.0039;0.00301;0.19881;0.039;0.192
Chile;1988;0.063;0.00431;0.00427;0.00335;0.14684;0.037;0.206
Chile;1989;0.053;0.00496;0.00493;0.00375;0.17028;0.043;0.241
Chile;1990;0.057;0.00551;0.00561;0.00402;0.26036;0.020;0.238
Chile;1991;0.052;0.0063;0.00656;0.00454;0.21784;0.022;0.207
Chile;1992;0.0435;0.00767;0.0082;0.00552;0.15426;0.020;0.235
Chile;1993;0.0449;0.00823;0.00889;0.00614;0.12728;0.021;0.262
Chile;1994;0.0587;0.00947;0.01009;0.00704;0.11443;0.045;0.247
Chile;1995;0.047;0.01217;0.01258;0.00897;0.08233;0.040;0.256
Chile;1996;0.07414;0.01295;0.01309;0.01103;0.07359;0.061;0.279
Chile;1997;0.07136;0.01413;0.01433;0.01218;0.06134;0.061;0.286
Chile;1998;0.07307;0.01352;0.01417;0.01203;0.0511;0.056;0.276
Chile;1999;0.11158;0.01246;0.01301;0.01188;0.03337;0.116;0.224
Chile;2000;0.10491;0.01291;0.01333;0.01225;0.03843;0.062;0.220
Chile;2001;0.1039;0.0118;0.0121;0.01124;0.03569;0.059;0.225
Chile;2002;0.10168;0.01158;0.01176;0.01113;0.02489;0.036;0.223
Chile;2003;0.09765;0.01261;0.01257;0.01157;0.0281;0.046;0.221
Chile;2004;0.10162;0.01633;0.01569;0.01407;0.01055;0.050;0.214
Chile;2005;0.0934;0.02016;0.01925;0.01664;0.03053;0.049;0.234
Chile;2006;0.09024;0.02536;0.02254;0.01968;0.03392;0.031;0.211
Chile;2007;0.08427;0.02843;0.02542;0.0226;0.04408;0.061;0.220
Chile;2008;0.09285;0.02965;0.02866;0.02517;0.08716;0.105;0.269
Chile;2009;0.11313;0.02832;0.02665;0.02746;0.00353;0.074;0.241
Chile;2010;0.08278;0.03578;0.03363;0.03383;0.01411;0.068;0.230
Chile;2011;0.07277;0.04144;0.04002;0.03844;0.03341;0.105;0.247
Chile;2012;0.06562;0.04402;0.04339;0.04088;0.03007;0.119;0.268
Chile;2013;0.06074;0.04573;0.0461;0.04406;0.0179;0.076;0.263
Chile;2014;0.06483;0.04279;0.04353;0.04264;0.04719;0.098;0.255
Chile;2015;0.06313;0.03997;0.04101;0.04094;0.04349;0.073;0.255
Chile;2016;0.06673;0.0411;0.04244;0.04442;0.03786;0.046;0.241
Chile;2017;0.07257;0.04552;0.04694;0.05025;0.02183;0.019;0.223
Chile;2018;0.07623;0.04877;0.05028;0.0546;0.02435;0.027;0.230
Chile;2019;0.07493;0.04587;0.04699;0.05273;0.02558;0.049;0.245
Chile;2020;0.10934;0.04188;0.04065;0.05057;0.03045;0.045;0.226
Chile;2021;0.09281;0.05198;0.05358;0.05773;0.04525;0.048;0.233
Chile;2022;0.08249;0.04966;0.05235;0.0551;0.11644;0.062;0.256
Chile;2023;0.09013;0.05531;0.05553;0.06376;0.07582;0.055;0.242
Chile;2024;0.09056;0.05444;0.05255;0.06181;0.04298;0.038;0.235
Colombia;1986;0.129;0.00469;0.00449;0.00311;0.18842;0.019;0.177
Colombia;1987;0.108;0.00488;0.00473;0.00325;0.23302;0.009;0.174
Colombia;1988;0.101;0.00526;0.00505;0.00359;0.28108;0.005;0.195
Colombia;1989;0.089;0.00531;0.00507;0.00379;0.25868;0.015;0.181
Colombia;1990;0.102;0.00642;0.00602;0.00541;0.29152;0.010;0.191
Colombia;1991;0.1012;0.00666;0.00629;0.0053;0.30388;0.009;0.175
Colombia;1992;0.0944;0.00784;0.00768;0.00697;0.27011;0.012;0.191
Colombia;1993;0.078;0.00892;0.00873;0.00848;0.22442;0.014;0.229
Colombia;1994;0.0825;0.01096;0.01058;0.01074;0.22846;0.018;0.233
